[00:00:02 - 00:00:03] 因為這有點麻煩
[00:00:03 - 00:00:08] 連重機雙結油閥都不需要用到兩個TPS訊號啊
[00:00:09 - 00:00:11] 行車也沒有必要啊
[00:00:11 - 00:00:12] 原來想要把直接拉線
[00:00:13 - 00:00:14] 直接變成拉線油的
[00:00:15 - 00:00:15] 拉線
[00:00:17 - 00:00:18] 怎麼拉線
[00:00:18 - 00:00:19] 沒有啊
[00:00:19 - 00:00:21] 他們現在就是在想要怎麼去處理那個
[00:00:22 - 00:00:24] 另外一顆TPS的固定方式
[00:00:26 - 00:00:27] 嘿
[00:00:27 - 00:00:28] 對啊
[00:00:28 - 00:00:28] 幹嘛
[00:00:28 - 00:00:29] 啊結油閥怎麼一個
[00:00:29 - 00:00:30] 自動駛
[00:00:30 - 00:00:31] 對啊
[00:00:31 - 00:00:36] 結油閥如果不動結油閥的狀況下會很麻煩
[00:00:37 - 00:00:38] 對耶
[00:00:38 - 00:00:39] 對啊
[00:00:39 - 00:00:40] 對
[00:00:40 - 00:00:41] 結油閥會刮痧
[00:00:41 - 00:00:45] 理論上來說雙結油閥是最佳結
[00:00:46 - 00:00:46] 哦
[00:00:46 - 00:00:47] 就是
[00:00:47 - 00:00:50] 理論上來說雙結油閥是最佳結
[00:00:50 - 00:00:51] 哦
[00:00:51 - 00:00:55] 就是但是你們就一定要去固定好油門線要怎麼做
[00:00:55 - 00:00:58] 但定做一對二的油門線
[00:00:58 - 00:01:01] 台南有很多廠商那是不用太煩惱
[00:01:01 - 00:01:02] 那個也不會太貴啊
[00:01:02 - 00:01:02] 對
[00:01:02 - 00:01:02] 對
[00:01:02 - 00:01:03] ,對
[00:01:03 - 00:01:05] 只是那個訊號要求上來說的話
[00:01:05 - 00:01:07] 我就不清楚你們要怎麼做
[00:01:08 - 00:01:10] 但務必要記得去挑選商品
[00:01:12 - 00:01:14] 不然那顆引擎他就會被搞壞
[00:01:14 - 00:01:15] 我先說我先說
[00:01:15 - 00:01:18] 他如果整合兩個訊號
[00:01:18 - 00:01:20] 啊但是他的ECM就不能用了
[00:01:23 - 00:01:24] 懂我意思嗎
[00:01:26 - 00:01:28] 因為他一定會有Mode function
[00:01:28 - 00:01:30] Mode function就跑出來
[00:01:31 - 00:01:32] 對啊
[00:01:32 - 00:01:34] 可能真的就累一點的話
[00:01:36 - 00:01:38] 就要用到電氣工程師
[00:01:39 - 00:01:40] 有哦
[00:01:40 - 00:01:41] 有
[00:01:41 - 00:01:41] 好
[00:01:41 - 00:01:44] 啊因為我我只把路點到這邊而已
[00:01:44 - 00:01:46] 原來裡面都跑CAM的
[00:01:46 - 00:01:51] 所以如果就算電腦的CAM是這樣
[00:01:51 - 00:01:52] 你們都沒有辦法破解
[00:01:52 - 00:01:54] 你們只能把ECM換掉
[00:01:56 - 00:01:56] 沒有
[00:01:56 - 00:01:58] 現在重點不是這個問題
[00:01:58 - 00:01:59] 沒有沒有他要兩個
[00:01:59 - 00:02:00] 所以請問一下ECM是什麼
[00:02:00 - 00:02:02] ECM就是ECU
[00:02:02 - 00:02:03] 我們會這樣講
[00:02:03 - 00:02:04] 同樣會講ECM
[00:02:04 - 00:02:04] 了解了解
[00:02:04 - 00:02:05] 對
[00:02:06 - 00:02:07] 就是Control Module這樣子
[00:02:07 - 00:02:09] 對才會叫ECM
[00:02:09 - 00:02:11] 我覺得雙節流法會是比較好的解
[00:02:11 - 00:02:15] 然後你們再寫電腦抓其中一邊的訊號就好了
[00:02:17 - 00:02:18] 然後再調平衡
[00:02:19 - 00:02:19] 對
[00:02:21 - 00:02:21] 對
[00:02:21 - 00:02:22] 我覺得這樣會比較好
[00:02:23 - 00:02:24] 但是就要變成要辛苦一點
[00:02:24 - 00:02:27] 你需要兩支空燃力
[00:02:27 - 00:02:30] 你需要兩支涵氧感知器
[00:02:30 - 00:02:31] 一缸一缸下去
[00:02:31 - 00:02:31] 這樣
[00:02:31 - 00:02:33] 哦分別對分別進行
[00:02:33 - 00:02:33] 對
[00:02:33 - 00:02:35] 一條風的路
[00:02:35 - 00:02:38] 三葉的那種做法是他只有一顆摩托車
[00:02:38 - 00:02:39] 只有一顆TPS而已
[00:02:39 - 00:02:43] 原因是因為我的油門開度的Map
[00:02:44 - 00:02:46] 綜合下來多少
[00:02:46 - 00:02:49] 所以才會有一根涵氧
[00:02:51 - 00:02:54] 那你現在拆成兩顆TPS就代表
[00:02:55 - 00:03:00] 理著這兩缸的邏輯是他跑他的
[00:03:01 - 00:03:01] 分開了
[00:03:01 - 00:03:04] 分開之後訊號又要整合起來
[00:03:05 - 00:03:05] 你懂我意思嗎
[00:03:08 - 00:03:10] 你如果有支筆我就給你看了
[00:03:10 - 00:03:10] 你比較乖
[00:03:12 - 00:03:13] 對
[00:03:14 - 00:03:16] 你有筆嗎
[00:03:16 - 00:03:16] 沒有
[00:03:16 - 00:03:18] 我跟你講那個意思很好懂
[00:03:18 - 00:03:20] 你們是一組活塞
[00:03:20 - 00:03:23] 你們兩個玩溝通完異見之後
[00:03:23 - 00:03:25] 因為你們是不是玩兩輪三角
[00:03:25 - 00:03:26] 對不對
[00:03:26 - 00:03:28] 溝通完異見之後就是
[00:03:28 - 00:03:29] 你慢一點
[00:03:29 - 00:03:31] TPS的功能有差就一顆
[00:03:31 - 00:03:34] 可是如果你們現在兩輪三角解開了
[00:03:34 - 00:03:37] 你們兩位要走一樣的速度
[00:03:37 - 00:03:39] 是不是有兩顆TPS
[00:03:39 - 00:03:42] 可是又要配合兩個人的速度
[00:03:42 - 00:03:43] 你懂我意思嗎
[00:03:43 - 00:03:44] 所以
[00:03:44 - 00:03:46] ECM出來要寫成
[00:03:46 - 00:03:48] 兩個再整合成一個
[00:03:48 - 00:03:50] 喔
[00:03:50 - 00:03:52] 那個會很麻煩啊
[00:03:52 - 00:03:56] 但是因為以真的試圖在改的話來說
[00:03:56 - 00:03:58] 真的改到一個很極致
[00:03:58 - 00:04:00] 就是一缸一支
[00:04:00 - 00:04:02] 排氧感知器跟一顆解流閥
[00:04:02 - 00:04:04] 是最大效率
[00:04:04 - 00:04:04] 對
[00:04:04 - 00:04:08] 所以這個在調整上你們會非常非常幸運
[00:04:08 - 00:04:10] 但我覺得應該還是有其他逃脚球的方法
[00:04:10 - 00:04:13] 可以去破解要兩個TPS訊號這件事情
[00:04:13 - 00:04:17] 因為兩缸之前就是兩缸的點火就是說
[00:04:17 - 00:04:20] 譬如說我現在負極是這樣
[00:04:20 - 00:04:21] 那是不是我一個訊號啦
[00:04:21 - 00:04:23] 就是波形啦
[00:04:23 - 00:04:24] 波形會焦點
[00:04:24 - 00:04:24] 對
[00:04:24 - 00:04:26] 或是說太陽爬
[00:04:26 - 00:04:29] 啊你一個如果切下來的時候是不是
[00:04:29 - 00:04:31] 另外一個是靜壓點爬
[00:04:31 - 00:04:32] 嗯
[00:04:32 - 00:04:34] 那個時候就另外一個會動
[00:04:34 - 00:04:35] 那你現在就是
[00:04:35 - 00:04:38] 你要把它全部寫成獨立的
[00:04:38 - 00:04:39] 啊你好意思喔
[00:04:39 - 00:04:41] 點火就是你要全部寫成獨立
[00:04:41 - 00:04:42] 因為這樣
[00:04:42 - 00:04:44] 啊這個就是難
[00:04:44 - 00:04:45] 啊因為
[00:04:45 - 00:04:48] 車廠不會這樣子做的原因是因為
[00:04:48 - 00:04:49] 因為車廠不會這樣子做的原因是因為
[00:04:49 - 00:04:51] 這樣子做沒有意義
[00:04:51 - 00:04:53] 因為它是市售車
[00:04:53 - 00:04:57] 它不會把一台引擎的馬力做到極致
[00:04:57 - 00:04:57] 做到極致
[00:04:57 - 00:04:58] 對
[00:04:58 - 00:04:59] 對
[00:04:59 - 00:05:01] 就是說我一顆空引擎
[00:05:01 - 00:05:04] 我可以做到130多馬
[00:05:04 - 00:05:06] 可是我出廠我鎖115就好了
[00:05:06 - 00:05:09] 因為我後面有環保法規要過啊
[00:05:09 - 00:05:09] 哦
[00:05:09 - 00:05:10] 對啊
[00:05:10 - 00:05:12] 所以我東西就整合下來啊
[00:05:12 - 00:05:14] 我覺得這樣啊
[00:05:14 - 00:05:16] 叫他把油門座直接改掉
[00:05:16 - 00:05:18] 就是節流閥上的油門座直接改掉
[00:05:18 - 00:05:20] 另外一邊再想辦法裝一顆TPS上去
[00:05:20 - 00:05:20] 就好了
[00:05:20 - 00:05:23] 如果這個應該是會最快的解法
[00:05:23 - 00:05:24] 對啊
[00:05:24 - 00:05:25] 對
[00:05:25 - 00:05:27] 那油門座要改去哪
[00:05:27 - 00:05:28] 沒有沒有沒有沒有沒有
[00:05:28 - 00:05:31] 油門座理論上是固定在那個軸上面的
[00:05:31 - 00:05:34] 可能可能類一點就是你要去重新生一隻
[00:05:34 - 00:05:36] 中間那隻轉軸
[00:05:36 - 00:05:40] 然後因為轉軸的其中一邊一定是接著一邊的TPS
[00:05:40 - 00:05:44] 那我們原本油門先是用勾的勾上去嘛
[00:05:44 - 00:05:44] 對對
[00:05:44 - 00:05:48] 那在勾的這邊的外面再多生一隻什麼東西
[00:05:48 - 00:05:50] 然後從旁邊生一個支架出來然後
[00:05:50 - 00:05:51] 設定TPS就好了
[00:05:51 - 00:05:52] 哦
[00:05:52 - 00:05:53] 在這邊再多加一個TPS
[00:05:53 - 00:05:53] 對
[00:05:53 - 00:05:55] 兩邊都一個TPS
[00:05:55 - 00:05:56] 看會不會比較好做
[00:05:56 - 00:05:58] 如果到時候真的這樣做的話
[00:05:58 - 00:05:59] 哦
[00:05:59 - 00:05:59] 那一顆而已
[00:05:59 - 00:06:00] 對
[00:06:00 - 00:06:01] 因為他是這樣子
[00:06:01 - 00:06:02] 那一顆啊
[00:06:02 - 00:06:03] 他是這樣子嘛
[00:06:03 - 00:06:05] 那代數法啊
[00:06:05 - 00:06:09] 就是代數法
[00:06:09 - 00:06:10] 等一下他的TPS在哪裡
[00:06:10 - 00:06:11] 這顆黑色的
[00:06:11 - 00:06:12] 對
[00:06:12 - 00:06:12] 這顆黑色的
[00:06:12 - 00:06:13] 哦
[00:06:13 - 00:06:15] 他的TPS
[00:06:15 - 00:06:16] 哦
[00:06:16 - 00:06:16] 對
[00:06:16 - 00:06:17] 啊我的意思是說
[00:06:17 - 00:06:19] 哦
[00:06:19 - 00:06:20] 怎麼樣
[00:06:20 - 00:06:20] 不好意思
[00:06:20 - 00:06:21] 淡掉了
[00:06:21 - 00:06:23] 呵呵呵
[00:06:23 - 00:06:24] 有時候不夠會淡掉了
[00:06:24 - 00:06:25] 等一下
[00:06:25 - 00:06:27] 就是你在這個油門做這一側
[00:06:27 - 00:06:29] 油門做這一側
[00:06:29 - 00:06:31] 再生一顆出來
[00:06:31 - 00:06:32] 哦
[00:06:32 - 00:06:35] 對把它用出來加強一下
[00:06:35 - 00:06:38] 然後這邊的話如果說真的油門做要重新做定位
[00:06:38 - 00:06:43] 的話你可能就是可能阿魯夢連一下就是介紹一點一下旁邊去生一個
[00:06:43 - 00:06:46] 多去生一個做出來應該是可以的
[00:06:46 - 00:06:47] 會好
[00:06:47 - 00:06:48] 標準
[00:06:48 - 00:06:50] 這樣應該會比較省誰的成本啊
[00:06:50 - 00:06:50] 哦
[00:06:50 - 00:06:50] 對
[00:06:50 - 00:06:51] 標準
[00:06:51 - 00:06:53] 那下雨不牛車要用瓦斯嗎
[00:06:53 - 00:06:55] 那他們會把哪個
[00:06:55 - 00:06:56] 沒有啦
[00:06:56 - 00:06:59] 沒有啦07的話應該原朋友嘴不用再換了啦
[00:06:59 - 00:07:00] 嗯
[00:07:00 - 00:07:02] 你缺啊你要缺哦
[00:07:02 - 00:07:05] 理論上不用啦其實如果沒有要改
[00:07:05 - 00:07:05] 要換
[00:07:05 - 00:07:06] 不用換
[00:07:06 - 00:07:11] 那如果他改8個的話都不用換朋友嘴了
[00:07:11 - 00:07:14] 這台車我騎最久我知道
[00:07:14 - 00:07:16] 沒有啦我現在我跟他說
[00:07:16 - 00:07:18] 我跟他說
[00:07:18 - 00:07:22] 如果有的有買到東西原廠電腦一定要買
[00:07:22 - 00:07:24] 然後叫他先刷歐規動力
[00:07:24 - 00:07:25] 不一定要先寫電腦
[00:07:25 - 00:07:26] 叫他先刷歐規動力
[00:07:26 - 00:07:27] 等一下等一下
[00:07:27 - 00:07:27] 那你錢要多少錢啊
[00:07:27 - 00:07:28] 你錢來源
[00:07:28 - 00:07:30] 你們從哪裡刷
[00:07:30 - 00:07:31] 你錢要從哪裡來
[00:07:31 - 00:07:31] 二
[00:07:31 - 00:07:33] 是二手
[00:07:33 - 00:07:35] 從一台二手的車上
[00:07:35 - 00:07:36] 哦我跟你講我跟你講
[00:07:36 - 00:07:39] 你去抓到歐規的引擎是最快的
[00:07:39 - 00:07:40] 歐規的引擎
[00:07:40 - 00:07:42] 對你就不要在那邊找那些有的沒的
[00:07:42 - 00:07:46] 因為你台規的引擎
[00:07:46 - 00:07:48] 就是台灣三葉賣的對不對
[00:07:48 - 00:07:50] 你的電腦都是瘋狗
[00:07:50 - 00:07:54] 然後連節流法角度縮口都不一樣
[00:07:54 - 00:07:56] 09就不一樣了
[00:07:56 - 00:07:57] 對對對對對
[00:07:57 - 00:07:58] 所以
[00:07:58 - 00:07:59] 為什麼我會這樣問
[00:07:59 - 00:08:02] 因為07的話
[00:08:02 - 00:08:05] 我那時候是騎我朋友的歐規的
[00:08:05 - 00:08:07] 動力差很多
[00:08:07 - 00:08:10] 對最好是收到歐規的
[00:08:10 - 00:08:11] 動力差很多
[00:08:11 - 00:08:13] 所以你們要下引擎之前
[00:08:13 - 00:08:17] 你們可以去找他原始的車台資料
[00:08:17 - 00:08:20] 車台號碼幾號幾號是歐規的
[00:08:20 - 00:08:21] 這樣找
[00:08:21 - 00:08:23] 確定OK就可以買
[00:08:23 - 00:08:25] 因為我怕你們這些小朋友
[00:08:25 - 00:08:27] 哦這顆比較便宜我買回來
[00:08:27 - 00:08:29] 買回來的東西
[00:08:29 - 00:08:30] 不能用啊
[00:08:30 - 00:08:31] 對啊
[00:08:31 - 00:08:32] 對啊
[00:08:32 - 00:08:35] 三葉對這種小排量的車
[00:08:35 - 00:08:37] 有一個很激發的點就是
[00:08:37 - 00:08:39] 你歐規跟台規的對不對
[00:08:39 - 00:08:41] 變速箱一檔就不一樣
[00:08:41 - 00:08:44] 你說什麼箱
[00:08:44 - 00:08:46] 變速箱裡面的一檔就不一樣
[00:08:46 - 00:08:48] 你就會做不出來啊
[00:08:48 - 00:08:52] 所以正常來說要做一台比賽車
[00:08:52 - 00:08:56] 引擎動力單元我們拿出來之後
[00:08:56 - 00:08:58] 全部拆散就算了
[00:08:58 - 00:08:59] 再裝回去
[00:08:59 - 00:09:00] 不過呢
[00:09:00 - 00:09:01] 對啊
[00:09:01 - 00:09:02] 因為我要算這些數據啊
[00:09:02 - 00:09:03] 我才有辦法做啊
[00:09:03 - 00:09:06] 包括就是我們都把車輪拔出來
[00:09:06 - 00:09:07] 算角度啊
[00:09:07 - 00:09:08] 對啊
[00:09:08 - 00:09:10] 算完再裝回去啊
[00:09:10 - 00:09:11] 對啊
[00:09:11 - 00:09:13] 啊不行就是整個內壁丟掉了
[00:09:13 - 00:09:15] 因為有一個東西不行
[00:09:15 - 00:09:16] 你不會改全部的啊
[00:09:16 - 00:09:17] 因為我覺得有一個另外一個點
[00:09:17 - 00:09:19] 就是我不太知道你們
[00:09:19 - 00:09:22] 你們如果說用動力是用那個引擎
[00:09:22 - 00:09:23] 就是吃油的話
[00:09:23 - 00:09:26] 到底會不會有其他車隊多動一些
[00:09:26 - 00:09:28] 其實看看手腳
[00:09:28 - 00:09:29] 而且齁
[00:09:29 - 00:09:33] 三葉最極化的點為什麼會說噴油嘴的問題
[00:09:33 - 00:09:34] 那我先拿東西去給你們講
[00:09:34 - 00:09:38] 因為這台車它為了要過油耗
[00:09:38 - 00:09:41] 你噴油嘴可以做得很小吃
[00:09:41 - 00:09:43] 可是噴點可以做很多次
[00:09:43 - 00:09:46] 噴油時間間隔
[00:09:46 - 00:09:48] 因為它有一個噴油證實就是
[00:09:48 - 00:09:52] 我今天進氣門開那一下就噴了
[00:09:52 - 00:09:53] 懂我意思嗎
[00:09:53 - 00:09:55] 開那一下啊我可以噴很快
[00:09:55 - 00:09:57] 所以你動力要做出來
[00:09:57 - 00:09:59] 就是噴油嘴一定要先換
[00:09:59 - 00:10:01] 然後再縮
[00:10:01 - 00:10:03] 再寫點火腳再去縮
[00:10:03 - 00:10:07] 懂我意思嗎
[00:10:07 - 00:10:09] 再退點火腳這樣看
[00:10:09 - 00:10:11] 換你引擎做不出來啦
[00:10:11 - 00:10:13] 動力會完全做不出來嘛
[00:10:13 - 00:10:15] 噴你就要拿下來算
[00:10:15 - 00:10:17] 對啊
[00:10:17 - 00:10:20] 所以噴油的時機也是要自己寫
[00:10:20 - 00:10:22] 因為齁
[00:10:22 - 00:10:26] 我用摩托車的這樣講比較快
[00:10:26 - 00:10:29] 我們用摩托車的講比較快
[00:10:29 - 00:10:32] 對不對
[00:10:32 - 00:10:34] 我們按這一格好不好
[00:10:34 - 00:10:35] 你看喔
[00:10:35 - 00:10:38] 是不是來這一格
[00:10:38 - 00:10:41] 你知道這一格是最難做的嗎
[00:10:41 - 00:10:44] 我要找它這個圖就畫說
[00:10:44 - 00:10:46] 這就是居走角度在哪裡
[00:10:46 - 00:10:48] 那我凸輪什麼時候要開
[00:10:48 - 00:10:50] 開那一下就要噴
[00:10:50 - 00:10:52] 對不對
[00:10:52 - 00:10:56] 那我凸輪就是開了多久之後會關起來
[00:10:56 - 00:10:58] 那你要噴多久
[00:10:58 - 00:11:02] 可以用很小隻的噴油嘴去做出很大的動力
[00:11:02 - 00:11:04] 這真的
[00:11:04 - 00:11:08] 然後也可以做得很省油
[00:11:08 - 00:11:11] 你也可以用很大隻的噴油嘴
[00:11:11 - 00:11:13] 然後去做很小的動力
[00:11:13 - 00:11:16] 就是騎起來像買菜車這樣的動力
[00:11:16 - 00:11:19] 這個在電腦上面是做得到的事情
[00:11:19 - 00:11:21] 因為為什麼
[00:11:21 - 00:11:25] 在選擇在做噴油角度是要幹嘛
[00:11:25 - 00:11:27] 這個就是說
[00:11:27 - 00:11:30] 這種東西就是說
[00:11:30 - 00:11:33] 我的車子的油門的靈敏度在哪裡
[00:11:33 - 00:11:36] 比如說以前玩過二行程就是
[00:11:36 - 00:11:37] 我換一顆化學機來的
[00:11:37 - 00:11:39] 轉速都很恐怖
[00:11:39 - 00:11:41] 因為噴油的時間點
[00:11:41 - 00:11:43] 跟噴油量直接都加高
[00:11:43 - 00:11:44] 對啊
[00:11:44 - 00:11:47] 因為二行程的混合比要濃
[00:11:47 - 00:11:49] 就這樣子來的
[00:11:49 - 00:11:51] 可是高速會越來越少
[00:11:51 - 00:11:53] 可以去看這種參數
[00:11:53 - 00:11:55] 對不對
[00:11:55 - 00:11:56] 因為這個軟體是
[00:11:56 - 00:11:58] 我們是經銷商我們不買
[00:11:58 - 00:12:00] 我們就這樣再按車子
[00:12:00 - 00:12:02] 它就直接拿來騎
[00:12:02 - 00:12:05] 對
[00:12:05 - 00:12:06] 基本上
[00:12:06 - 00:12:07] 因為
[00:12:07 - 00:12:08] 這些
[00:12:08 - 00:12:10] 都全部都會按
[00:12:10 - 00:12:13] 你們就會搶過一半的摩托電電價
[00:12:13 - 00:12:14] 這邊喔
[00:12:14 - 00:12:16] 這邊要全部都要會按
[00:12:16 - 00:12:17] 對因為
[00:12:17 - 00:12:19] 如果說Motec來說也
[00:12:19 - 00:12:21] 差不多的東西
[00:12:21 - 00:12:23] 也差不多
[00:12:23 - 00:12:25] 你看連這個都要有
[00:12:25 - 00:12:33] 我噴油嘴一分鐘噴多少量
[00:12:33 - 00:12:34] 到60秒
[00:12:34 - 00:12:38] 有噴油嘴是不是會寫120cc 150cc
[00:12:38 - 00:12:41] 60秒內要到150cc
[00:12:41 - 00:12:42] 對對對
[00:12:42 - 00:12:43] 就是這樣
[00:12:43 - 00:12:45] 那剛才說換噴油嘴的目的是什麼
